csv_material_value,material_name,form,notes
.06 wall tube,,,
".0625"" 6061 Angle",6061,Angle,size moves to Stock Size
".0625"" wall 6061 Square Tube",6061,Square Tube,size moves to Stock Size
".0625"" wall 6061 Tube",6061,Tube,size moves to Stock Size
".07"" wall Sqr Tube",,,
".08"" wall Steel Square Tube",Steel,Square Tube,size moves to Stock Size
.125 wall square,,,
".125"" Angle Iron",,,
".125"" wall angle aluminum",,,
".125"" wall rectangular tubing",,,
".125"" wall square",,,
".125"" wall Square Tubing",,,
".125"" wall Steel Sqr Tube",Steel,Square Tube,size moves to Stock Size
".125"" wall Steel Tube",Steel,Tube,size moves to Stock Size
.188 wall 6061 Angle,6061,Angle,size moves to Stock Size
".188"" wall angle 6061",,,
".25"" thick 6061 angle",6061,Angle,size moves to Stock Size
".25"" wall 6061 Angle",6061,Angle,size moves to Stock Size
".25"" wall Angle Iron",,,
".25"" wall DOM Tube",DOM,Tube,size moves to Stock Size
".25"" wall DOM Tubing",DOM,Tubing,size moves to Stock Size
".25"" wall square tube",,,
".25"" Wall Steel Rect Tubing",Steel,Rect Tubing,size moves to Stock Size
".25"" wall Steel Square Tube",Steel,Square Tube,size moves to Stock Size
".25"" wall steel tube",steel,Tube,size moves to Stock Size
".25"" wall Steel tube",Steel,Tube,size moves to Stock Size
".25"" Wall Steel Tube",Steel,Tube,size moves to Stock Size
"1"" wall 6061 Tube",6061,Tube,size moves to Stock Size
1018,1018,Unspecified,
1018 Flat,1018,Flat,
1018 Hex,1018,Hex,
1018 Round,1018,Round,
1018 Steel,,,
1018 Steel Round,,,
1019 Flat,1019,Flat,
11 ga,,,
11ga. Steel,,,
12L14,12L14,Unspecified,
12L14 Hex,12L14,Hex,
12L14 Round,12L14,Round,
12L15,12L15,Unspecified,
14 Ga,,,
14 ga sqr tube,,,
14 ga. steel,,,
15L-PS8A,15L-PS8A,Unspecified,
16 ga Sqr Tube,,,
303,303,Unspecified,
303 Round,303,Round,
303 Stainless,,,
30L-PS8A,30L-PS8A,Unspecified,
3D Print,,,
4140 Steel Round,,,
6060 Flat,6060,Flat,
6061,6061,Unspecified,
6061 Alum Flat,,,
6061 Aluminum,,,
6061 Flat,6061,Flat,
6061 flat,6061,Flat,
6061 Round,6061,Round,
6061 Round Tube,,,
6061 Tube,6061,Tube,
Acetal,Acetal,Unspecified,
Acetal Black,,,
Acetal Round,Acetal,Round,
All-thread,All-thread,Unspecified,
All-thread G8,,,
All-thread Stainless,,,
alum,alum,Unspecified,
autom,autom,Unspecified,
Bearing Bronze,,,
Black Acetal,,,
Black Acetal Flat,,,
Black Acetal Rod,,,
Black Acetal Round,,,
Brass,Brass,Unspecified,
CR Steel,,,
DOM Rectangular Tube,,,
DOM Round Tube,,,
DOM Tube,DOM,Tube,
DOM Tubing,DOM,Tubing,
hex,,,
Hot Roll,,,
HR,HR,Unspecified,
HR Steel,,,
HR Steel/1018,,,
keystock,keystock,Unspecified,
Precision Ground Steel,,,
Printer,Printer,Unspecified,
Round Steel,,,
SSS,SSS,Unspecified,
Steel,Steel,Unspecified,
steel,steel,Unspecified,
Steel 24XL Bar Stock,,,
Steel Flat,Steel,Flat,
steel flat,steel,Flat,
Thompson Bar,Thompson,Bar,
Tube,,,
W-Pile,W-Pile,Unspecified,
White Acetal Round,,,
